,avg_expr_CD4_T,pct_expr_CD4_T,logFC_CD4_T,avg_expr_CD8_T,pct_expr_CD8_T,logFC_CD8_T,avg_expr_Macrophage,pct_expr_Macrophage,logFC_Macrophage
GENE26,4.393591,1.0,0.0,3.2482882,0.85,2.5199528,2.2707112,0.74,0.0
GENE27,4.3931384,1.0,0.0,3.4771814,0.92,2.146431,2.364881,0.75,0.0
GENE28,4.398341,1.0,0.0,3.27878,0.85,2.3577366,2.2491667,0.715,0.0
GENE29,4.381159,1.0,0.0,3.4410408,0.9,2.340023,2.2389112,0.725,0.0
GENE30,2.2976773,0.76,0.0,2.2695642,0.77,0.46750498,2.285969,0.74,0.0
GENE31,2.2238703,0.77,0.0,2.2924485,0.745,-0.18442488,2.337999,0.74,0.0
GENE32,2.1451304,0.725,0.0,2.4003975,0.795,0.06619024,2.3266966,0.75,0.0
GENE33,2.1914115,0.755,0.0,2.3125901,0.775,-0.18379736,2.5261497,0.8,0.0
GENE34,2.0682693,0.71,0.0,2.0822015,0.685,0.36354733,2.4322321,0.775,0.0
GENE35,2.0908213,0.715,0.0,2.324559,0.76,-0.2655244,2.346546,0.765,0.0
GENE36,2.2581296,0.775,0.0,2.2854824,0.74,-0.087462425,2.3724277,0.76,0.0
GENE37,2.2198107,0.755,0.0,2.2773185,0.755,0.43143225,2.2955062,0.745,0.0
GENE38,2.1430357,0.735,0.0,2.2793555,0.74,-0.18322182,2.3897445,0.755,0.0
GENE39,2.2122326,0.765,0.0,2.1815717,0.73,-0.17084074,2.3472047,0.755,0.0
GENE40,2.1310117,0.725,0.0,2.38696,0.78,0.09019756,2.554684,0.795,0.0
GENE41,2.1827078,0.755,0.0,2.3245513,0.775,0.25652075,2.2183857,0.73,0.0
GENE42,2.2997816,0.785,0.0,2.435851,0.8,0.085469246,2.359659,0.755,0.0
GENE43,2.1307478,0.735,0.0,2.265475,0.755,-0.21222067,2.2860749,0.715,0.0
GENE44,2.1800272,0.775,0.0,2.3317244,0.745,-0.012767315,2.4537466,0.75,0.0
GENE45,2.123667,0.74,0.0,2.1602812,0.725,-0.2990141,2.2353632,0.735,0.0
GENE46,2.3248713,0.77,0.0,2.2301104,0.72,-0.07686901,2.1419153,0.705,0.0
GENE47,2.166247,0.735,0.0,2.2987452,0.775,-0.50828695,2.3997262,0.78,0.0
GENE48,2.2561615,0.785,0.0,2.240695,0.76,-0.17270231,2.2934818,0.75,0.0
GENE49,2.178254,0.76,0.0,2.2372718,0.74,0.18503189,2.2555468,0.72,0.0
GENE50,2.0543952,0.72,0.0,2.2835388,0.745,-0.25793648,2.3793993,0.75,0.0
GENE51,2.1589518,0.735,0.0,2.1846747,0.705,-0.49239635,2.2742624,0.74,0.0
GENE52,2.320124,0.79,0.0,2.3449743,0.76,-0.27301884,2.2598796,0.72,0.0
GENE53,2.1132846,0.735,0.0,2.2873154,0.75,0.20129824,2.490303,0.785,0.0
GENE54,2.0957835,0.71,0.0,2.254822,0.73,-0.10945082,2.179934,0.705,0.0
GENE55,2.1707728,0.735,0.0,2.215657,0.75,0.1295104,2.3578827,0.78,0.0
GENE56,2.2845843,0.775,0.0,2.1518981,0.71,-0.037670135,2.0703144,0.665,0.0
GENE57,2.244237,0.785,0.0,2.2543392,0.76,0.25749636,2.4410214,0.785,0.0
GENE58,2.288965,0.78,0.0,2.321571,0.76,0.56828403,2.2771773,0.73,0.0
GENE59,2.0941775,0.71,0.0,2.2517304,0.76,0.3169732,2.3460364,0.755,0.0
GENE60,2.309213,0.775,0.0,2.2708933,0.75,-0.036341667,2.337179,0.745,0.0
GENE61,2.0397418,0.69,0.0,2.319576,0.735,-0.20192814,2.2377973,0.735,0.0
GENE62,1.9719766,0.68,0.0,2.3476603,0.755,0.044787884,2.317495,0.75,0.0
GENE63,2.0531936,0.715,0.0,2.4866552,0.78,-0.26406145,2.3800159,0.75,0.0
GENE64,2.1177783,0.72,0.0,2.332618,0.765,-0.28189325,2.1799362,0.71,0.0
GENE65,2.2383459,0.75,0.0,2.4406276,0.795,0.057332993,2.4786959,0.79,0.0
GENE66,2.170883,0.755,0.0,2.3356006,0.785,0.22807455,2.3404005,0.765,0.0
GENE67,2.1920254,0.75,0.0,2.2129679,0.74,0.2738614,2.4157639,0.775,0.0
GENE68,2.181417,0.74,0.0,2.293836,0.77,0.08880901,2.4619284,0.765,0.0
GENE69,2.2013483,0.755,0.0,2.389107,0.8,-0.03527546,2.0092227,0.66,0.0
GENE70,1.998908,0.705,0.0,2.307082,0.765,0.34848642,2.2915468,0.755,0.0
GENE71,2.2866688,0.785,0.0,2.132215,0.705,-0.007379532,2.382823,0.76,0.0
GENE72,2.1170805,0.695,0.0,2.08674,0.705,0.084888935,2.381598,0.745,0.0
GENE73,2.3977687,0.81,0.0,1.9574722,0.65,0.2978363,2.376209,0.755,0.0
GENE74,2.2073157,0.77,0.0,2.3817987,0.78,-0.14268827,2.300321,0.725,0.0
GENE75,2.0342746,0.72,0.0,2.3785522,0.8,-0.36627197,2.446304,0.795,0.0
GENE76,2.1657255,0.72,0.0,2.1151915,0.72,-0.12268257,2.3450058,0.76,0.0
GENE77,2.300363,0.775,0.0,2.3361313,0.79,-0.08203602,2.0860054,0.665,0.0
GENE78,2.1299043,0.73,0.0,2.2324152,0.74,-0.35327435,2.455904,0.785,0.0
GENE79,2.2691593,0.765,0.0,2.224245,0.755,0.47614908,2.2338386,0.72,0.0
GENE80,2.1179705,0.73,0.0,2.211027,0.75,-0.118644714,2.2610602,0.725,0.0
GENE81,2.1602836,0.725,0.0,2.2946036,0.755,-0.16585064,2.5171733,0.785,0.0
GENE82,2.0670207,0.715,0.0,2.2404644,0.735,0.40053797,2.3201838,0.73,0.0
GENE83,2.2823806,0.77,0.0,2.048652,0.7,0.041340828,2.2811503,0.735,0.0
GENE84,2.11074,0.725,0.0,2.2493508,0.745,0.4063201,2.3681746,0.765,0.0
GENE85,2.1654115,0.745,0.0,2.3890963,0.785,-0.17768574,2.4356532,0.775,0.0
GENE86,2.261251,0.78,0.0,2.1498392,0.73,0.22478676,2.3786662,0.755,0.0
GENE87,2.1920714,0.745,0.0,2.4083512,0.765,-0.012383461,2.1800125,0.715,0.0
GENE88,2.1381955,0.73,0.0,2.346571,0.77,-0.013805389,2.2748406,0.74,0.0
GENE89,2.1508265,0.755,0.0,2.2952883,0.76,0.049875736,2.2142272,0.735,0.0
GENE90,2.1159077,0.735,0.0,2.2284267,0.725,-0.07877731,2.2850394,0.73,0.0
GENE91,2.165775,0.73,0.0,2.3928437,0.775,0.012881279,2.191125,0.7,0.0
GENE92,2.1448197,0.73,0.0,2.2679548,0.74,0.22663593,2.2702544,0.73,0.0
GENE93,2.2937477,0.78,0.0,2.1127818,0.72,-0.09953594,2.31716,0.75,0.0
GENE94,2.3671076,0.8,0.0,2.2497904,0.76,-0.08466196,2.2413828,0.72,0.0
GENE95,2.2982476,0.795,0.0,2.2010436,0.735,-0.14251184,2.2802274,0.73,0.0
GENE96,2.2413692,0.77,0.0,2.28599,0.755,-0.14086246,2.360075,0.755,0.0
GENE97,2.201265,0.745,0.0,2.2699435,0.755,-0.078388214,2.5416548,0.785,0.0
GENE98,2.1664033,0.735,0.0,2.2433708,0.76,-0.14631844,2.2528124,0.73,0.0
GENE99,2.1452148,0.74,0.0,2.2207263,0.745,0.2212143,2.3179538,0.745,0.0
GENE100,2.365888,0.8,0.0,2.2632709,0.73,-0.17549706,2.3120158,0.745,0.0
GENE101,2.0633442,0.73,0.0,2.365699,0.775,0.1170392,2.2868266,0.725,0.0
GENE102,2.190435,0.75,0.0,2.115989,0.71,0.22239256,2.3769035,0.75,0.0
GENE103,2.1702917,0.75,0.0,2.403279,0.785,-0.3263154,2.2273715,0.725,0.0
GENE104,2.1863544,0.745,0.0,2.311073,0.76,-0.28738976,2.5300748,0.805,0.0
GENE105,2.128763,0.715,0.0,2.400596,0.79,0.045392036,2.2796564,0.735,0.0
GENE106,2.217868,0.765,0.0,2.1810899,0.715,0.086587906,2.4654932,0.77,0.0
GENE107,2.221899,0.765,0.0,2.4195487,0.775,-0.11445904,2.3312001,0.76,0.0
GENE108,2.1549058,0.73,0.0,2.1069098,0.7,0.16992474,2.2528648,0.725,0.0
GENE109,2.3218474,0.79,0.0,2.1613998,0.705,0.18474007,2.239491,0.735,0.0
GENE110,2.2514083,0.76,0.0,2.317145,0.755,0.10842228,2.38677,0.755,0.0
GENE111,2.2121608,0.745,0.0,2.281945,0.75,0.078388214,2.1221519,0.695,0.0
GENE112,2.1127925,0.73,0.0,2.3050227,0.77,-0.051138878,2.5275908,0.8,0.0
GENE113,2.1500423,0.75,0.0,2.0986526,0.705,-0.27030277,2.3626447,0.73,0.0
GENE114,2.0749605,0.72,0.0,2.3008404,0.76,-0.18144703,2.4023097,0.775,0.0
GENE115,2.0594604,0.735,0.0,2.3192296,0.76,-0.1731925,2.236045,0.73,0.0
GENE116,2.2928622,0.785,0.0,2.3272557,0.745,0.1917901,2.1364849,0.695,0.0
GENE117,2.1475625,0.73,0.0,2.2811363,0.75,0.082856655,2.191375,0.695,0.0
GENE118,2.2172534,0.775,0.0,2.3929577,0.78,0.19703674,2.4024334,0.775,0.0
GENE119,2.0768871,0.715,0.0,2.1586854,0.72,-0.08650923,2.35559,0.76,0.0
GENE120,2.151619,0.73,0.0,2.1440303,0.72,-0.42647886,2.3467896,0.755,0.0
GENE121,2.094261,0.745,0.0,2.3825386,0.78,0.16272974,2.2378488,0.72,0.0
GENE122,2.2355833,0.775,0.0,2.2080424,0.73,-0.139606,2.2835348,0.715,0.0
GENE123,2.1236014,0.745,0.0,2.1627135,0.715,-0.29176617,2.3722227,0.76,0.0
GENE124,2.2040212,0.745,0.0,2.2542715,0.75,0.30298662,2.4065664,0.785,0.0
GENE125,2.016594,0.695,0.0,2.3823888,0.79,-0.02684164,2.3982263,0.76,0.0
GENE126,2.324389,0.775,0.0,2.2995007,0.75,0.2544651,2.3070219,0.725,0.0
GENE127,2.1693082,0.755,0.0,2.3001258,0.775,0.109624386,2.281736,0.735,0.0
GENE128,2.327825,0.765,0.0,2.1570845,0.735,-0.008127689,2.4207294,0.765,0.0
GENE129,2.3490243,0.79,0.0,2.2865539,0.755,0.021586895,2.415538,0.775,0.0
GENE130,2.097676,0.74,0.0,2.0706382,0.685,-0.11672354,2.4152284,0.765,0.0
GENE131,2.3750489,0.785,0.0,2.1726663,0.71,0.0073046684,2.3370185,0.74,0.0
GENE132,2.1806288,0.725,0.0,2.1831768,0.735,-0.37036848,2.5957365,0.82,0.0
GENE133,2.3535948,0.8,0.0,2.4745939,0.79,0.45553017,2.2833395,0.74,0.0
GENE134,2.2063901,0.75,0.0,2.325484,0.76,0.11602354,2.4591787,0.775,0.0
GENE135,2.083902,0.715,0.0,2.2733603,0.765,0.021804333,2.3602335,0.755,0.0
GENE136,2.148944,0.74,0.0,2.1567588,0.71,0.28258753,2.3481486,0.765,0.0
GENE137,2.1073875,0.73,0.0,2.3845968,0.805,0.27830124,2.3304412,0.735,0.0
GENE138,2.1633706,0.75,0.0,2.2602584,0.755,0.1750865,2.2814429,0.73,0.0
GENE139,2.0324438,0.695,0.0,2.1997192,0.73,0.16378021,2.3500118,0.76,0.0
GENE140,2.2420073,0.77,0.0,2.125037,0.71,-0.29677486,2.4517095,0.775,0.0
GENE141,2.2420127,0.75,0.0,2.2316327,0.745,-0.34980726,2.3610916,0.77,0.0
GENE142,2.0203648,0.69,0.0,2.2857406,0.77,0.25749636,2.3940704,0.765,0.0
GENE143,2.4141417,0.795,0.0,2.304719,0.765,-0.07724333,2.56941,0.815,0.0
GENE144,2.104764,0.735,0.0,2.2600467,0.76,0.19165945,2.269989,0.735,0.0
GENE145,2.1713514,0.745,0.0,2.2696586,0.76,0.0,2.2802496,0.74,0.0
GENE146,2.2299051,0.78,0.0,2.044112,0.7,-0.25080824,2.645053,0.84,0.0
GENE147,2.1392977,0.74,0.0,2.2749138,0.76,-0.08880901,2.389721,0.77,0.0
GENE148,2.2366014,0.775,0.0,2.2900217,0.755,-0.048909187,2.2028756,0.72,0.0
GENE149,2.118577,0.73,0.0,2.2873104,0.735,-0.031569958,2.2498689,0.71,0.0
GENE150,2.2021143,0.755,0.0,2.341542,0.78,-0.1731925,2.3560421,0.765,0.0
GENE151,2.3421683,0.805,0.0,2.318311,0.76,0.07649803,2.305388,0.745,0.0
GENE152,2.2719383,0.765,0.0,2.2591457,0.74,-0.16085386,2.461087,0.78,0.0
GENE153,2.074697,0.73,0.0,1.920992,0.635,0.008511543,2.4014852,0.755,0.0
GENE154,2.1993604,0.77,0.0,2.13938,0.705,-0.52083206,2.5347707,0.8,0.0
GENE155,2.230275,0.765,0.0,2.3779743,0.765,-0.1675539,2.4063025,0.76,0.0
GENE156,2.2716796,0.77,0.0,2.2228608,0.74,0.029594898,2.3189056,0.76,0.0
GENE157,2.2811134,0.76,0.0,2.122692,0.705,-0.40082407,2.4863539,0.8,0.0
GENE158,2.239551,0.76,0.0,2.367051,0.78,-0.17715645,2.272668,0.74,0.0
GENE159,1.938759,0.69,0.0,2.1925144,0.735,-0.07635069,2.2996473,0.73,0.0
GENE160,2.3204691,0.795,0.0,2.216813,0.75,0.13750315,2.3126295,0.755,0.0
GENE161,2.1974614,0.75,0.0,2.3205793,0.77,-0.0416193,2.3654757,0.745,0.0
GENE162,2.0258818,0.705,0.0,2.1477919,0.705,-0.082892895,2.3238316,0.755,0.0
GENE163,2.323376,0.78,0.0,2.3308096,0.755,0.6240325,2.2319014,0.71,0.0
GENE164,2.190201,0.755,0.0,2.2449305,0.74,-0.25089407,2.1349268,0.69,0.0
GENE165,2.1106193,0.735,0.0,2.0690222,0.69,-0.00808239,2.4027462,0.76,0.0
GENE166,2.0142455,0.7,0.0,2.4118786,0.805,0.24100828,2.408871,0.78,0.0
GENE167,2.1402519,0.72,0.0,2.342448,0.76,-0.2518363,2.3721306,0.735,0.0
GENE168,2.172335,0.735,0.0,2.1343691,0.705,-0.014873505,2.3447418,0.76,0.0
GENE169,2.0147977,0.695,0.0,2.4298563,0.8,0.10046005,2.4811893,0.805,0.0
GENE170,2.1214516,0.75,0.0,2.2628205,0.745,0.10052729,2.328808,0.755,0.0
GENE171,1.9957738,0.7,0.0,2.2335317,0.75,0.075157166,2.4126143,0.765,0.0
GENE172,2.077651,0.72,0.0,2.3635955,0.76,-0.18745852,2.2678006,0.745,0.0
GENE173,2.144117,0.745,0.0,2.3243954,0.75,0.37439537,2.306514,0.735,0.0
GENE174,2.1750383,0.755,0.0,2.322321,0.76,-0.28950644,2.3611517,0.755,0.0
GENE175,2.0937922,0.71,0.0,2.3612435,0.77,0.12947655,2.3024645,0.745,0.0
GENE176,2.1704223,0.74,0.0,2.1874166,0.74,-0.40136242,2.4202235,0.765,0.0
GENE177,2.27369,0.76,0.0,2.2480927,0.77,0.1011467,2.3904965,0.755,0.0
GENE178,2.233024,0.775,0.0,2.290767,0.755,-0.07686901,2.2183635,0.72,0.0
GENE179,2.2903736,0.77,0.0,2.3946085,0.79,-0.020758152,2.336874,0.755,0.0
GENE180,2.3667078,0.79,0.0,2.368757,0.775,0.0,2.244283,0.705,0.0
GENE181,2.1728196,0.75,0.0,2.0974276,0.705,-0.24838781,2.1900537,0.695,0.0
GENE182,2.1843004,0.735,0.0,2.150714,0.715,0.03021431,2.5167506,0.795,0.0
GENE183,2.215476,0.755,0.0,2.3670301,0.765,0.19176102,2.218997,0.705,0.0
GENE184,2.243932,0.77,0.0,2.221486,0.74,0.03021431,2.310551,0.735,0.0
GENE185,2.1467404,0.735,0.0,2.2984848,0.78,0.33669138,2.4355068,0.78,0.0
GENE186,2.3095853,0.79,0.0,2.3216894,0.775,0.111567974,2.3369975,0.745,0.0
GENE187,2.2800093,0.78,0.0,2.2753963,0.745,-0.17884827,2.3580012,0.745,0.0
GENE188,2.1737423,0.745,0.0,2.108857,0.705,0.34792328,2.2115607,0.715,0.0
GENE189,2.2642562,0.78,0.0,2.2993412,0.755,-0.113769054,2.3593934,0.745,0.0
GENE190,2.2020915,0.76,0.0,2.1464417,0.715,0.17910814,2.3219855,0.745,0.0
GENE191,2.0605028,0.715,0.0,2.4215531,0.79,0.031848907,2.360394,0.745,0.0
GENE192,2.2484128,0.77,0.0,2.201915,0.735,-0.52632093,2.1661985,0.695,0.0
GENE193,2.0704262,0.72,0.0,2.3196425,0.77,0.36872196,2.4498153,0.795,0.0
GENE194,2.2106738,0.75,0.0,2.3461542,0.77,-0.09183884,2.324016,0.74,0.0
GENE195,2.199976,0.745,0.0,2.130374,0.725,0.3237419,2.3865478,0.755,0.0
GENE196,2.2085419,0.745,0.0,2.3183057,0.76,-0.041419983,2.3714373,0.765,0.0
GENE197,2.1152356,0.715,0.0,2.2630737,0.76,-0.051662445,2.193588,0.71,0.0
GENE198,2.2239454,0.78,0.0,2.2107067,0.74,0.0308609,2.3265643,0.725,0.0
GENE199,2.1843045,0.74,0.0,2.2381804,0.745,0.0,2.2230473,0.72,0.0
GENE200,2.1348016,0.72,0.0,2.1781456,0.735,-0.015512943,2.278151,0.73,0.0
GENE201,2.1393363,0.73,0.0,2.168929,0.73,-0.16438675,2.2554026,0.715,0.0
GENE202,2.0739236,0.725,0.0,2.1934805,0.72,0.18102598,2.36362,0.77,0.0
GENE203,2.19934,0.785,0.0,2.2059486,0.725,-0.39391422,2.421456,0.775,0.0
GENE204,2.3152664,0.795,0.0,2.3707485,0.775,0.019629002,2.4487529,0.78,0.0
GENE205,2.1567414,0.74,0.0,2.1301224,0.715,-0.26303434,2.4700072,0.79,0.0
GENE206,2.1643596,0.755,0.0,2.3443997,0.79,0.1963973,2.5100665,0.795,0.0
GENE207,2.080529,0.71,0.0,2.2809107,0.745,0.10586882,2.2673454,0.715,0.0
GENE208,2.2619603,0.775,0.0,2.156527,0.715,0.39522934,2.3583927,0.745,0.0
GENE209,2.1862104,0.75,0.0,2.1259844,0.735,0.23401165,2.404102,0.785,0.0
GENE210,2.1124527,0.72,0.0,2.3757558,0.78,0.19719219,2.4557252,0.785,0.0
GENE211,2.2023332,0.755,0.0,2.2652187,0.75,0.14901018,2.3576217,0.735,0.0
GENE212,2.2342165,0.755,0.0,2.3093119,0.735,-0.012881279,2.3879604,0.755,0.0
GENE213,2.2347274,0.76,0.0,2.311909,0.78,-0.051662445,2.335505,0.765,0.0
GENE214,2.4701827,0.83,0.0,2.2635822,0.735,0.24792767,2.3622189,0.77,0.0
GENE215,2.0689993,0.705,0.0,2.3103914,0.74,0.2334094,2.425271,0.78,0.0
GENE216,2.4044318,0.81,0.0,2.4100704,0.78,0.33763313,2.397852,0.765,0.0
GENE217,2.1623695,0.745,0.0,2.298381,0.765,-0.2683382,2.3280623,0.755,0.0
GENE218,2.3273492,0.78,0.0,2.1764681,0.75,0.024522305,2.3486054,0.765,0.0
GENE219,2.168671,0.745,0.0,2.334449,0.76,0.4073019,2.3576655,0.74,0.0
GENE220,2.2684765,0.785,0.0,2.186605,0.735,0.13326645,2.3745468,0.765,0.0
GENE221,2.1853886,0.745,0.0,2.1135118,0.73,-0.1448164,2.3498757,0.77,0.0
GENE222,2.1452818,0.735,0.0,2.2938645,0.755,-0.15806484,2.2844355,0.725,0.0
GENE223,2.240303,0.755,0.0,2.0994136,0.71,-0.089942455,2.3262975,0.75,0.0
GENE224,2.122601,0.725,0.0,2.0993268,0.7,0.52229834,2.374037,0.76,0.0
GENE225,1.986055,0.67,0.0,2.163814,0.73,-0.008037567,2.2909749,0.74,0.0
GENE226,2.0808947,0.71,0.0,2.1444547,0.725,0.07038927,2.4105353,0.765,0.0
GENE227,2.1886613,0.755,0.0,2.2135296,0.735,-0.050626278,2.238807,0.73,0.0
GENE228,2.19805,0.74,0.0,2.300753,0.75,-0.30750895,2.413616,0.77,0.0
GENE229,2.302143,0.76,0.0,2.3061078,0.75,0.14473486,2.3875449,0.76,0.0
GENE230,2.220511,0.755,0.0,2.1991742,0.73,0.0,2.3804612,0.765,0.0
GENE231,2.1600595,0.735,0.0,2.2814555,0.765,-0.41503763,2.4910145,0.78,0.0
GENE232,2.0919178,0.72,0.0,2.2728257,0.78,-0.11365652,2.463146,0.77,0.0
GENE233,2.190668,0.75,0.0,2.1702785,0.71,0.007089138,2.2744634,0.735,0.0
GENE234,2.3322966,0.81,0.0,2.36319,0.76,-0.045597076,2.340627,0.745,0.0
GENE235,2.2406402,0.77,0.0,2.134821,0.725,-0.17460442,2.183819,0.7,0.0
GENE236,2.0385907,0.7,0.0,2.339196,0.755,-0.19001627,2.420873,0.77,0.0
GENE237,2.1591418,0.745,0.0,2.196445,0.715,0.12301111,2.378882,0.785,0.0
GENE238,2.0946352,0.72,0.0,2.2940495,0.74,-0.042228222,2.5195541,0.815,0.0
GENE239,2.275853,0.785,0.0,2.1511958,0.725,0.26303434,2.43443,0.78,0.0
GENE240,2.023751,0.72,0.0,2.184287,0.72,0.037281036,2.4013777,0.76,0.0
GENE241,2.159768,0.74,0.0,2.4021685,0.78,0.41503763,1.9956863,0.655,0.0
GENE242,2.0737395,0.715,0.0,2.3280241,0.76,0.47226238,2.5539598,0.8,0.0
GENE243,2.2840629,0.78,0.0,2.2734935,0.725,0.3117423,2.3458438,0.74,0.0
GENE244,2.3373907,0.79,0.0,2.2759817,0.74,-0.23187351,2.3368816,0.76,0.0
GENE245,2.3397663,0.8,0.0,2.1890109,0.73,0.11131716,2.2825532,0.735,0.0
GENE246,2.2980525,0.795,0.0,2.3072119,0.75,-0.21818018,2.421585,0.775,0.0
GENE247,2.1750355,0.745,0.0,2.3379395,0.75,0.0065135956,2.2626483,0.725,0.0
GENE248,2.1643126,0.73,0.0,2.3064578,0.745,-0.17632294,2.360361,0.785,0.0
GENE249,2.1831706,0.755,0.0,2.2374332,0.765,0.19157743,2.3012273,0.72,0.0
GENE250,2.1045425,0.725,0.0,2.3606827,0.78,0.026967049,2.2879286,0.73,0.0
GENE251,2.2036397,0.765,0.0,2.25016,0.74,0.14901018,2.1963596,0.72,0.0
GENE252,2.1771662,0.75,0.0,2.3385515,0.785,0.1368165,2.3245516,0.765,0.0
GENE253,2.2130013,0.755,0.0,2.2812583,0.76,0.18012094,2.3581696,0.76,0.0
GENE254,2.1670926,0.74,0.0,2.0427647,0.675,-0.29677486,2.3391328,0.755,0.0
GENE255,2.2535334,0.77,0.0,2.3095956,0.765,-0.035800457,2.3630512,0.76,0.0
GENE256,2.2170782,0.745,0.0,2.3547451,0.77,-0.02709341,2.2777805,0.74,0.0
GENE257,2.2548149,0.77,0.0,2.235141,0.73,0.09667587,2.2389705,0.72,0.0
GENE258,2.2271845,0.76,0.0,2.328694,0.765,0.021480083,2.2076046,0.705,0.0
GENE259,2.1936278,0.75,0.0,2.2656944,0.75,-0.028288841,2.3869812,0.77,0.0
GENE260,2.3202012,0.775,0.0,2.3239913,0.75,0.57161665,2.470912,0.8,0.0
GENE261,2.2354999,0.78,0.0,2.228439,0.75,-0.38187075,2.379502,0.785,0.0
GENE262,2.277761,0.77,0.0,2.2562845,0.735,-0.23865747,2.38585,0.74,0.0
GENE263,2.009657,0.7,0.0,2.3415458,0.77,0.16585064,2.3599453,0.77,0.0
GENE264,2.1665714,0.74,0.0,2.2663422,0.755,0.10907173,2.281711,0.71,0.0
GENE265,2.2957428,0.77,0.0,2.1163192,0.695,-0.022253036,2.571751,0.815,0.0
GENE266,2.2089074,0.745,0.0,2.1416588,0.725,0.087947845,2.5727892,0.82,0.0
GENE267,2.1908922,0.755,0.0,2.2092896,0.725,-0.05742836,2.4394882,0.785,0.0
GENE268,1.9953201,0.685,0.0,2.3104827,0.77,-0.058299065,2.3336222,0.75,0.0
GENE269,2.3391,0.79,0.0,2.279211,0.745,-0.10236168,2.5395155,0.81,0.0
GENE270,2.2200675,0.755,0.0,2.2823873,0.74,-0.26678658,2.3309128,0.745,0.0
GENE271,2.2212656,0.76,0.0,2.2510293,0.75,-0.21114779,2.3702922,0.76,0.0
GENE272,2.2959394,0.785,0.0,2.3245728,0.765,0.39747906,2.3786762,0.755,0.0
GENE273,2.3112388,0.76,0.0,2.3289323,0.77,0.14901018,2.3034189,0.74,0.0
GENE274,2.1659505,0.74,0.0,2.348324,0.78,0.11321068,2.276015,0.735,0.0
GENE275,2.16872,0.76,0.0,2.277473,0.755,0.055763245,2.2344515,0.7,0.0
GENE276,2.279965,0.77,0.0,2.2848117,0.755,0.30904675,2.5597138,0.81,0.0
GENE277,2.2190886,0.765,0.0,2.3418162,0.77,0.06871271,2.2192173,0.705,0.0
GENE278,2.2744112,0.78,0.0,2.1727614,0.705,-0.18708563,2.4624255,0.785,0.0
GENE279,2.2283645,0.765,0.0,2.1304338,0.71,-0.092610836,2.2909753,0.74,0.0
GENE280,2.1590388,0.755,0.0,2.443561,0.775,-0.04932785,2.2660432,0.705,0.0
GENE281,2.2898786,0.785,0.0,2.319768,0.77,0.17884827,2.5308692,0.79,0.0
GENE282,2.12238,0.735,0.0,2.1657948,0.725,0.14631844,2.3730664,0.765,0.0
