GSE,GSE_title,GSE_type,GSM,title,source_name_ch1,organism_ch1,characteristics_ch1,platform_id,instrument_model,library_strategy,library_source,supplementary_file,data_completeness
GSE172305,S100A8 Enhances IL-1beta Production from Nasal Epithelial Cells in Eosinophilic Chronic Rhinosinusitis,Expression profiling by high throughput sequencing,GSM5252190,NECRS_rep2,Nasal polyp tissue,Homo sapiens,tissue: Nasal polyp | diagnosis: Non-eosinophilic CRS,GPL18573,Illumina NextSeq 500,RNA-Seq,transcriptomic,GSE172305_RAW.tar,complete
GSE172305,S100A8 Enhances IL-1beta Production from Nasal Epithelial Cells in Eosinophilic Chronic Rhinosinusitis,Expression profiling by high throughput sequencing,GSM5252191,ECRS_rep1,Nasal polyp tissue,Homo sapiens,tissue: Nasal polyp | diagnosis: Eosinophilic CRS,GPL18573,Illumina NextSeq 500,RNA-Seq,transcriptomic,GSE172305_RAW.tar,complete
GSE172305,S100A8 Enhances IL-1beta Production from Nasal Epithelial Cells in Eosinophilic Chronic Rhinosinusitis,Expression profiling by high throughput sequencing,GSM5252192,ECRS_rep2,Nasal polyp tissue,Homo sapiens,tissue: Nasal polyp | diagnosis: Eosinophilic CRS,GPL18573,Illumina NextSeq 500,RNA-Seq,transcriptomic,GSE172305_RAW.tar,complete
GSE136825,Whole-transcriptome sequencing reveals heightened inflammation and defective host defence responses in chronic rhinosinusitis with nasal polyps,Expression profiling by high throughput sequencing,GSM4058752,PY 01,Nasal Polyp Tissue,Homo sapiens,tissue: Nasal Polyp Tissue | group: CRSwNP,GPL20301,Illumina HiSeq 4000,RNA-Seq,transcriptomic,GSE136825_genecounts_20190903.txt.gz,partial_gsm_numbers_estimated
GSE136825,Whole-transcriptome sequencing reveals heightened inflammation and defective host defence responses in chronic rhinosinusitis with nasal polyps,Expression profiling by high throughput sequencing,GSM4058753,PY 02,Nasal Polyp Tissue,Homo sapiens,tissue: Nasal Polyp Tissue | group: CRSwNP,GPL20301,Illumina HiSeq 4000,RNA-Seq,transcriptomic,GSE136825_genecounts_20190903.txt.gz,partial_gsm_numbers_estimated
GSE136825,Whole-transcriptome sequencing reveals heightened inflammation and defective host defence responses in chronic rhinosinusitis with nasal polyps,Expression profiling by high throughput sequencing,GSM4058754,PY 03,Nasal Polyp Tissue,Homo sapiens,tissue: Nasal Polyp Tissue | group: CRSwNP,GPL20301,Illumina HiSeq 4000,RNA-Seq,transcriptomic,GSE136825_genecounts_20190903.txt.gz,partial_gsm_numbers_estimated
GSE136825,Whole-transcriptome sequencing reveals heightened inflammation and defective host defence responses in chronic rhinosinusitis with nasal polyps,Expression profiling by high throughput sequencing,GSM4058755,PY 04,Nasal Polyp Tissue,Homo sapiens,tissue: Nasal Polyp Tissue | group: CRSwNP,GPL20301,Illumina HiSeq 4000,RNA-Seq,transcriptomic,GSE136825_genecounts_20190903.txt.gz,partial_gsm_numbers_estimated
GSE136825,Whole-transcriptome sequencing reveals heightened inflammation and defective host defence responses in chronic rhinosinusitis with nasal polyps,Expression profiling by high throughput sequencing,GSM4058756,PY 05,Nasal Polyp Tissue,Homo sapiens,tissue: Nasal Polyp Tissue | group: CRSwNP,GPL20301,Illumina HiSeq 4000,RNA-Seq,transcriptomic,GSE136825_genecounts_20190903.txt.gz,partial_gsm_numbers_estimated
GSE136825,Whole-transcriptome sequencing reveals heightened inflammation and defective host defence responses in chronic rhinosinusitis with nasal polyps,Expression profiling by high throughput sequencing,GSM4058757,PY 06,Nasal Polyp Tissue,Homo sapiens,tissue: Nasal Polyp Tissue | group: CRSwNP,GPL20301,Illumina HiSeq 4000,RNA-Seq,transcriptomic,GSE136825_genecounts_20190903.txt.gz,partial_gsm_numbers_estimated
GSE136825,Whole-transcriptome sequencing reveals heightened inflammation and defective host defence responses in chronic rhinosinusitis with nasal polyps,Expression profiling by high throughput sequencing,GSM4058758,PY 07,Nasal Polyp Tissue,Homo sapiens,tissue: Nasal Polyp Tissue | group: CRSwNP,GPL20301,Illumina HiSeq 4000,RNA-Seq,transcriptomic,GSE136825_genecounts_20190903.txt.gz,partial_gsm_numbers_estimated
GSE136825,Whole-transcriptome sequencing reveals heightened inflammation and defective host defence responses in chronic rhinosinusitis with nasal polyps,Expression profiling by high throughput sequencing,GSM4058759,PY 08,Nasal Polyp Tissue,Homo sapiens,tissue: Nasal Polyp Tissue | group: CRSwNP,GPL20301,Illumina HiSeq 4000,RNA-Seq,transcriptomic,GSE136825_genecounts_20190903.txt.gz,partial_gsm_numbers_estimated
GSE136825,Whole-transcriptome sequencing reveals heightened inflammation and defective host defence responses in chronic rhinosinusitis with nasal polyps,Expression profiling by high throughput sequencing,GSM4058760,PY 09,Nasal Polyp Tissue,Homo sapiens,tissue: Nasal Polyp Tissue | group: CRSwNP,GPL20301,Illumina HiSeq 4000,RNA-Seq,transcriptomic,GSE136825_genecounts_20190903.txt.gz,partial_gsm_numbers_estimated
GSE136825,Whole-transcriptome sequencing reveals heightened inflammation and defective host defence responses in chronic rhinosinusitis with nasal polyps,Expression profiling by high throughput sequencing,GSM4058761,PY 10,Nasal Polyp Tissue,Homo sapiens,tissue: Nasal Polyp Tissue | group: CRSwNP,GPL20301,Illumina HiSeq 4000,RNA-Seq,transcriptomic,GSE136825_genecounts_20190903.txt.gz,partial_gsm_numbers_estimated
GSE136825,Whole-transcriptome sequencing reveals heightened inflammation and defective host defence responses in chronic rhinosinusitis with nasal polyps,Expression profiling by high throughput sequencing,GSM4058762,PY 11,Nasal Polyp Tissue,Homo sapiens,tissue: Nasal Polyp Tissue | group: CRSwNP,GPL20301,Illumina HiSeq 4000,RNA-Seq,transcriptomic,GSE136825_genecounts_20190903.txt.gz,partial_gsm_numbers_estimated
GSE136825,Whole-transcriptome sequencing reveals heightened inflammation and defective host defence responses in chronic rhinosinusitis with nasal polyps,Expression profiling by high throughput sequencing,GSM4058763,PY 12,Nasal Polyp Tissue,Homo sapiens,tissue: Nasal Polyp Tissue | group: CRSwNP,GPL20301,Illumina HiSeq 4000,RNA-Seq,transcriptomic,GSE136825_genecounts_20190903.txt.gz,partial_gsm_numbers_estimated
GSE136825,Whole-transcriptome sequencing reveals heightened inflammation and defective host defence responses in chronic rhinosinusitis with nasal polyps,Expression profiling by high throughput sequencing,GSM4058764,PY 13,Nasal Polyp Tissue,Homo sapiens,tissue: Nasal Polyp Tissue | group: CRSwNP,GPL20301,Illumina HiSeq 4000,RNA-Seq,transcriptomic,GSE136825_genecounts_20190903.txt.gz,partial_gsm_numbers_estimated
GSE136825,Whole-transcriptome sequencing reveals heightened inflammation and defective host defence responses in chronic rhinosinusitis with nasal polyps,Expression profiling by high throughput sequencing,GSM4058765,PY 14,Nasal Polyp Tissue,Homo sapiens,tissue: Nasal Polyp Tissue | group: CRSwNP,GPL20301,Illumina HiSeq 4000,RNA-Seq,transcriptomic,GSE136825_genecounts_20190903.txt.gz,partial_gsm_numbers_estimated
GSE136825,Whole-transcriptome sequencing reveals heightened inflammation and defective host defence responses in chronic rhinosinusitis with nasal polyps,Expression profiling by high throughput sequencing,GSM4058766,PY 15,Nasal Polyp Tissue,Homo sapiens,tissue: Nasal Polyp Tissue | group: CRSwNP,GPL20301,Illumina HiSeq 4000,RNA-Seq,transcriptomic,GSE136825_genecounts_20190903.txt.gz,partial_gsm_numbers_estimated
GSE136825,Whole-transcriptome sequencing reveals heightened inflammation and defective host defence responses in chronic rhinosinusitis with nasal polyps,Expression profiling by high throughput sequencing,GSM4058767,PY 16,Nasal Polyp Tissue,Homo sapiens,tissue: Nasal Polyp Tissue | group: CRSwNP,GPL20301,Illumina HiSeq 4000,RNA-Seq,transcriptomic,GSE136825_genecounts_20190903.txt.gz,partial_gsm_numbers_estimated
GSE136825,Whole-transcriptome sequencing reveals heightened inflammation and defective host defence responses in chronic rhinosinusitis with nasal polyps,Expression profiling by high throughput sequencing,GSM4058768,PY 17,Nasal Polyp Tissue,Homo sapiens,tissue: Nasal Polyp Tissue | group: CRSwNP,GPL20301,Illumina HiSeq 4000,RNA-Seq,transcriptomic,GSE136825_genecounts_20190903.txt.gz,partial_gsm_numbers_estimated
GSE136825,Whole-transcriptome sequencing reveals heightened inflammation and defective host defence responses in chronic rhinosinusitis with nasal polyps,Expression profiling by high throughput sequencing,GSM4058769,PY 18,Nasal Polyp Tissue,Homo sapiens,tissue: Nasal Polyp Tissue | group: CRSwNP,GPL20301,Illumina HiSeq 4000,RNA-Seq,transcriptomic,GSE136825_genecounts_20190903.txt.gz,partial_gsm_numbers_estimated
GSE136825,Whole-transcriptome sequencing reveals heightened inflammation and defective host defence responses in chronic rhinosinusitis with nasal polyps,Expression profiling by high throughput sequencing,GSM4058770,PY 19,Nasal Polyp Tissue,Homo sapiens,tissue: Nasal Polyp Tissue | group: CRSwNP,GPL20301,Illumina HiSeq 4000,RNA-Seq,transcriptomic,GSE136825_genecounts_20190903.txt.gz,partial_gsm_numbers_estimated
GSE136825,Whole-transcriptome sequencing reveals heightened inflammation and defective host defence responses in chronic rhinosinusitis with nasal polyps,Expression profiling by high throughput sequencing,GSM4058771,PY 20,Nasal Polyp Tissue,Homo sapiens,tissue: Nasal Polyp Tissue | group: CRSwNP,GPL20301,Illumina HiSeq 4000,RNA-Seq,transcriptomic,GSE136825_genecounts_20190903.txt.gz,partial_gsm_numbers_estimated
GSE136825,Whole-transcriptome sequencing reveals heightened inflammation and defective host defence responses in chronic rhinosinusitis with nasal polyps,Expression profiling by high throughput sequencing,GSM4058772,PY 21,Nasal Polyp Tissue,Homo sapiens,tissue: Nasal Polyp Tissue | group: CRSwNP,GPL20301,Illumina HiSeq 4000,RNA-Seq,transcriptomic,GSE136825_genecounts_20190903.txt.gz,partial_gsm_numbers_estimated
GSE136825,Whole-transcriptome sequencing reveals heightened inflammation and defective host defence responses in chronic rhinosinusitis with nasal polyps,Expression profiling by high throughput sequencing,GSM4058773,PY 22,Nasal Polyp Tissue,Homo sapiens,tissue: Nasal Polyp Tissue | group: CRSwNP,GPL20301,Illumina HiSeq 4000,RNA-Seq,transcriptomic,GSE136825_genecounts_20190903.txt.gz,partial_gsm_numbers_estimated
GSE136825,Whole-transcriptome sequencing reveals heightened inflammation and defective host defence responses in chronic rhinosinusitis with nasal polyps,Expression profiling by high throughput sequencing,GSM4058774,PY 23,Nasal Polyp Tissue,Homo sapiens,tissue: Nasal Polyp Tissue | group: CRSwNP,GPL20301,Illumina HiSeq 4000,RNA-Seq,transcriptomic,GSE136825_genecounts_20190903.txt.gz,partial_gsm_numbers_estimated
GSE136825,Whole-transcriptome sequencing reveals heightened inflammation and defective host defence responses in chronic rhinosinusitis with nasal polyps,Expression profiling by high throughput sequencing,GSM4058775,PY 24,Nasal Polyp Tissue,Homo sapiens,tissue: Nasal Polyp Tissue | group: CRSwNP,GPL20301,Illumina HiSeq 4000,RNA-Seq,transcriptomic,GSE136825_genecounts_20190903.txt.gz,partial_gsm_numbers_estimated
GSE136825,Whole-transcriptome sequencing reveals heightened inflammation and defective host defence responses in chronic rhinosinusitis with nasal polyps,Expression profiling by high throughput sequencing,GSM4058776,PY 25,Nasal Polyp Tissue,Homo sapiens,tissue: Nasal Polyp Tissue | group: CRSwNP,GPL20301,Illumina HiSeq 4000,RNA-Seq,transcriptomic,GSE136825_genecounts_20190903.txt.gz,partial_gsm_numbers_estimated
GSE136825,Whole-transcriptome sequencing reveals heightened inflammation and defective host defence responses in chronic rhinosinusitis with nasal polyps,Expression profiling by high throughput sequencing,GSM4058777,PY 26,Nasal Polyp Tissue,Homo sapiens,tissue: Nasal Polyp Tissue | group: CRSwNP,GPL20301,Illumina HiSeq 4000,RNA-Seq,transcriptomic,GSE136825_genecounts_20190903.txt.gz,partial_gsm_numbers_estimated
GSE136825,Whole-transcriptome sequencing reveals heightened inflammation and defective host defence responses in chronic rhinosinusitis with nasal polyps,Expression profiling by high throughput sequencing,GSM4058778,PY 27,Nasal Polyp Tissue,Homo sapiens,tissue: Nasal Polyp Tissue | group: CRSwNP,GPL20301,Illumina HiSeq 4000,RNA-Seq,transcriptomic,GSE136825_genecounts_20190903.txt.gz,partial_gsm_numbers_estimated
GSE136825,Whole-transcriptome sequencing reveals heightened inflammation and defective host defence responses in chronic rhinosinusitis with nasal polyps,Expression profiling by high throughput sequencing,GSM4058779,PY 28,Nasal Polyp Tissue,Homo sapiens,tissue: Nasal Polyp Tissue | group: CRSwNP,GPL20301,Illumina HiSeq 4000,RNA-Seq,transcriptomic,GSE136825_genecounts_20190903.txt.gz,partial_gsm_numbers_estimated
GSE136825,Whole-transcriptome sequencing reveals heightened inflammation and defective host defence responses in chronic rhinosinusitis with nasal polyps,Expression profiling by high throughput sequencing,GSM4058780,PY 29,Nasal Polyp Tissue,Homo sapiens,tissue: Nasal Polyp Tissue | group: CRSwNP,GPL20301,Illumina HiSeq 4000,RNA-Seq,transcriptomic,GSE136825_genecounts_20190903.txt.gz,partial_gsm_numbers_estimated
GSE136825,Whole-transcriptome sequencing reveals heightened inflammation and defective host defence responses in chronic rhinosinusitis with nasal polyps,Expression profiling by high throughput sequencing,GSM4058781,PY 30,Nasal Polyp Tissue,Homo sapiens,tissue: Nasal Polyp Tissue | group: CRSwNP,GPL20301,Illumina HiSeq 4000,RNA-Seq,transcriptomic,GSE136825_genecounts_20190903.txt.gz,partial_gsm_numbers_estimated
GSE136825,Whole-transcriptome sequencing reveals heightened inflammation and defective host defence responses in chronic rhinosinusitis with nasal polyps,Expression profiling by high throughput sequencing,GSM4058782,PY 31,Nasal Polyp Tissue,Homo sapiens,tissue: Nasal Polyp Tissue | group: CRSwNP,GPL20301,Illumina HiSeq 4000,RNA-Seq,transcriptomic,GSE136825_genecounts_20190903.txt.gz,partial_gsm_numbers_estimated
GSE136825,Whole-transcriptome sequencing reveals heightened inflammation and defective host defence responses in chronic rhinosinusitis with nasal polyps,Expression profiling by high throughput sequencing,GSM4058783,PY 32,Nasal Polyp Tissue,Homo sapiens,tissue: Nasal Polyp Tissue | group: CRSwNP,GPL20301,Illumina HiSeq 4000,RNA-Seq,transcriptomic,GSE136825_genecounts_20190903.txt.gz,partial_gsm_numbers_estimated
GSE136825,Whole-transcriptome sequencing reveals heightened inflammation and defective host defence responses in chronic rhinosinusitis with nasal polyps,Expression profiling by high throughput sequencing,GSM4058784,PY 33,Nasal Polyp Tissue,Homo sapiens,tissue: Nasal Polyp Tissue | group: CRSwNP,GPL20301,Illumina HiSeq 4000,RNA-Seq,transcriptomic,GSE136825_genecounts_20190903.txt.gz,partial_gsm_numbers_estimated
GSE136825,Whole-transcriptome sequencing reveals heightened inflammation and defective host defence responses in chronic rhinosinusitis with nasal polyps,Expression profiling by high throughput sequencing,GSM4058785,PY 34,Nasal Polyp Tissue,Homo sapiens,tissue: Nasal Polyp Tissue | group: CRSwNP,GPL20301,Illumina HiSeq 4000,RNA-Seq,transcriptomic,GSE136825_genecounts_20190903.txt.gz,partial_gsm_numbers_estimated
GSE136825,Whole-transcriptome sequencing reveals heightened inflammation and defective host defence responses in chronic rhinosinusitis with nasal polyps,Expression profiling by high throughput sequencing,GSM4058786,PY 35,Nasal Polyp Tissue,Homo sapiens,tissue: Nasal Polyp Tissue | group: CRSwNP,GPL20301,Illumina HiSeq 4000,RNA-Seq,transcriptomic,GSE136825_genecounts_20190903.txt.gz,partial_gsm_numbers_estimated
GSE136825,Whole-transcriptome sequencing reveals heightened inflammation and defective host defence responses in chronic rhinosinusitis with nasal polyps,Expression profiling by high throughput sequencing,GSM4058787,PY 36,Nasal Polyp Tissue,Homo sapiens,tissue: Nasal Polyp Tissue | group: CRSwNP,GPL20301,Illumina HiSeq 4000,RNA-Seq,transcriptomic,GSE136825_genecounts_20190903.txt.gz,partial_gsm_numbers_estimated
GSE136825,Whole-transcriptome sequencing reveals heightened inflammation and defective host defence responses in chronic rhinosinusitis with nasal polyps,Expression profiling by high throughput sequencing,GSM4058788,PY 37,Nasal Polyp Tissue,Homo sapiens,tissue: Nasal Polyp Tissue | group: CRSwNP,GPL20301,Illumina HiSeq 4000,RNA-Seq,transcriptomic,GSE136825_genecounts_20190903.txt.gz,partial_gsm_numbers_estimated
GSE136825,Whole-transcriptome sequencing reveals heightened inflammation and defective host defence responses in chronic rhinosinusitis with nasal polyps,Expression profiling by high throughput sequencing,GSM4058789,PY 38,Nasal Polyp Tissue,Homo sapiens,tissue: Nasal Polyp Tissue | group: CRSwNP,GPL20301,Illumina HiSeq 4000,RNA-Seq,transcriptomic,GSE136825_genecounts_20190903.txt.gz,partial_gsm_numbers_estimated
GSE136825,Whole-transcriptome sequencing reveals heightened inflammation and defective host defence responses in chronic rhinosinusitis with nasal polyps,Expression profiling by high throughput sequencing,GSM4058790,PY 39,Nasal Polyp Tissue,Homo sapiens,tissue: Nasal Polyp Tissue | group: CRSwNP,GPL20301,Illumina HiSeq 4000,RNA-Seq,transcriptomic,GSE136825_genecounts_20190903.txt.gz,partial_gsm_numbers_estimated
GSE136825,Whole-transcriptome sequencing reveals heightened inflammation and defective host defence responses in chronic rhinosinusitis with nasal polyps,Expression profiling by high throughput sequencing,GSM4058791,PY 40,Nasal Polyp Tissue,Homo sapiens,tissue: Nasal Polyp Tissue | group: CRSwNP,GPL20301,Illumina HiSeq 4000,RNA-Seq,transcriptomic,GSE136825_genecounts_20190903.txt.gz,partial_gsm_numbers_estimated
GSE136825,Whole-transcriptome sequencing reveals heightened inflammation and defective host defence responses in chronic rhinosinusitis with nasal polyps,Expression profiling by high throughput sequencing,GSM4058792,PY 41,Nasal Polyp Tissue,Homo sapiens,tissue: Nasal Polyp Tissue | group: CRSwNP,GPL20301,Illumina HiSeq 4000,RNA-Seq,transcriptomic,GSE136825_genecounts_20190903.txt.gz,partial_gsm_numbers_estimated
GSE136825,Whole-transcriptome sequencing reveals heightened inflammation and defective host defence responses in chronic rhinosinusitis with nasal polyps,Expression profiling by high throughput sequencing,GSM4058793,PY 42,Nasal Polyp Tissue,Homo sapiens,tissue: Nasal Polyp Tissue | group: CRSwNP,GPL20301,Illumina HiSeq 4000,RNA-Seq,transcriptomic,GSE136825_genecounts_20190903.txt.gz,partial_gsm_numbers_estimated
GSE136825,Whole-transcriptome sequencing reveals heightened inflammation and defective host defence responses in chronic rhinosinusitis with nasal polyps,Expression profiling by high throughput sequencing,GSM4058794,IT 01,Inferior Turbinate Tissue,Homo sapiens,tissue: Inferior Turbinate Tissue | group: Control,GPL20301,Illumina HiSeq 4000,RNA-Seq,transcriptomic,GSE136825_genecounts_20190903.txt.gz,partial_gsm_numbers_estimated
GSE136825,Whole-transcriptome sequencing reveals heightened inflammation and defective host defence responses in chronic rhinosinusitis with nasal polyps,Expression profiling by high throughput sequencing,GSM4058795,IT 02,Inferior Turbinate Tissue,Homo sapiens,tissue: Inferior Turbinate Tissue | group: Control,GPL20301,Illumina HiSeq 4000,RNA-Seq,transcriptomic,GSE136825_genecounts_20190903.txt.gz,partial_gsm_numbers_estimated
GSE136825,Whole-transcriptome sequencing reveals heightened inflammation and defective host defence responses in chronic rhinosinusitis with nasal polyps,Expression profiling by high throughput sequencing,GSM4058796,IT 03,Inferior Turbinate Tissue,Homo sapiens,tissue: Inferior Turbinate Tissue | group: Control,GPL20301,Illumina HiSeq 4000,RNA-Seq,transcriptomic,GSE136825_genecounts_20190903.txt.gz,partial_gsm_numbers_estimated
GSE136825,Whole-transcriptome sequencing reveals heightened inflammation and defective host defence responses in chronic rhinosinusitis with nasal polyps,Expression profiling by high throughput sequencing,GSM4058797,IT 04,Inferior Turbinate Tissue,Homo sapiens,tissue: Inferior Turbinate Tissue | group: Control,GPL20301,Illumina HiSeq 4000,RNA-Seq,transcriptomic,GSE136825_genecounts_20190903.txt.gz,partial_gsm_numbers_estimated
GSE136825,Whole-transcriptome sequencing reveals heightened inflammation and defective host defence responses in chronic rhinosinusitis with nasal polyps,Expression profiling by high throughput sequencing,GSM4058798,IT 05,Inferior Turbinate Tissue,Homo sapiens,tissue: Inferior Turbinate Tissue | group: Control,GPL20301,Illumina HiSeq 4000,RNA-Seq,transcriptomic,GSE136825_genecounts_20190903.txt.gz,partial_gsm_numbers_estimated
GSE136825,Whole-transcriptome sequencing reveals heightened inflammation and defective host defence responses in chronic rhinosinusitis with nasal polyps,Expression profiling by high throughput sequencing,GSM4058799,IT 06,Inferior Turbinate Tissue,Homo sapiens,tissue: Inferior Turbinate Tissue | group: Control,GPL20301,Illumina HiSeq 4000,RNA-Seq,transcriptomic,GSE136825_genecounts_20190903.txt.gz,partial_gsm_numbers_estimated
GSE136825,Whole-transcriptome sequencing reveals heightened inflammation and defective host defence responses in chronic rhinosinusitis with nasal polyps,Expression profiling by high throughput sequencing,GSM4058800,IT 07,Inferior Turbinate Tissue,Homo sapiens,tissue: Inferior Turbinate Tissue | group: Control,GPL20301,Illumina HiSeq 4000,RNA-Seq,transcriptomic,GSE136825_genecounts_20190903.txt.gz,partial_gsm_numbers_estimated
GSE136825,Whole-transcriptome sequencing reveals heightened inflammation and defective host defence responses in chronic rhinosinusitis with nasal polyps,Expression profiling by high throughput sequencing,GSM4058801,IT 08,Inferior Turbinate Tissue,Homo sapiens,tissue: Inferior Turbinate Tissue | group: Control,GPL20301,Illumina HiSeq 4000,RNA-Seq,transcriptomic,GSE136825_genecounts_20190903.txt.gz,partial_gsm_numbers_estimated
GSE136825,Whole-transcriptome sequencing reveals heightened inflammation and defective host defence responses in chronic rhinosinusitis with nasal polyps,Expression profiling by high throughput sequencing,GSM4058802,IT 09,Inferior Turbinate Tissue,Homo sapiens,tissue: Inferior Turbinate Tissue | group: Control,GPL20301,Illumina HiSeq 4000,RNA-Seq,transcriptomic,GSE136825_genecounts_20190903.txt.gz,partial_gsm_numbers_estimated
GSE136825,Whole-transcriptome sequencing reveals heightened inflammation and defective host defence responses in chronic rhinosinusitis with nasal polyps,Expression profiling by high throughput sequencing,GSM4058803,IT 10,Inferior Turbinate Tissue,Homo sapiens,tissue: Inferior Turbinate Tissue | group: Control,GPL20301,Illumina HiSeq 4000,RNA-Seq,transcriptomic,GSE136825_genecounts_20190903.txt.gz,partial_gsm_numbers_estimated
GSE136825,Whole-transcriptome sequencing reveals heightened inflammation and defective host defence responses in chronic rhinosinusitis with nasal polyps,Expression profiling by high throughput sequencing,GSM4058804,IT 11,Inferior Turbinate Tissue,Homo sapiens,tissue: Inferior Turbinate Tissue | group: Control,GPL20301,Illumina HiSeq 4000,RNA-Seq,transcriptomic,GSE136825_genecounts_20190903.txt.gz,partial_gsm_numbers_estimated
GSE136825,Whole-transcriptome sequencing reveals heightened inflammation and defective host defence responses in chronic rhinosinusitis with nasal polyps,Expression profiling by high throughput sequencing,GSM4058805,IT 12,Inferior Turbinate Tissue,Homo sapiens,tissue: Inferior Turbinate Tissue | group: Control,GPL20301,Illumina HiSeq 4000,RNA-Seq,transcriptomic,GSE136825_genecounts_20190903.txt.gz,partial_gsm_numbers_estimated
GSE136825,Whole-transcriptome sequencing reveals heightened inflammation and defective host defence responses in chronic rhinosinusitis with nasal polyps,Expression profiling by high throughput sequencing,GSM4058806,IT 13,Inferior Turbinate Tissue,Homo sapiens,tissue: Inferior Turbinate Tissue | group: Control,GPL20301,Illumina HiSeq 4000,RNA-Seq,transcriptomic,GSE136825_genecounts_20190903.txt.gz,partial_gsm_numbers_estimated
GSE136825,Whole-transcriptome sequencing reveals heightened inflammation and defective host defence responses in chronic rhinosinusitis with nasal polyps,Expression profiling by high throughput sequencing,GSM4058807,IT 14,Inferior Turbinate Tissue,Homo sapiens,tissue: Inferior Turbinate Tissue | group: Control,GPL20301,Illumina HiSeq 4000,RNA-Seq,transcriptomic,GSE136825_genecounts_20190903.txt.gz,partial_gsm_numbers_estimated
