node_id,node_type
GENE172,gene
GENE173,gene
GENE174,gene
GENE175,gene
GENE176,gene
GENE177,gene
GENE178,gene
GENE179,gene
GENE180,gene
GENE181,gene
GENE182,gene
GENE183,gene
GENE184,gene
GENE185,gene
GENE186,gene
GENE187,gene
GENE188,gene
GENE189,gene
GENE190,gene
GENE191,gene
GENE192,gene
GENE193,gene
GENE194,gene
GENE195,gene
GENE196,gene
GENE197,gene
GENE198,gene
GENE199,gene
GENE200,gene
GENE201,gene
GENE202,gene
GENE203,gene
GENE204,gene
GENE205,gene
GENE206,gene
GENE207,gene
GENE208,gene
GENE209,gene
GENE210,gene
GENE211,gene
GENE212,gene
GENE213,gene
GENE214,gene
GENE215,gene
GENE216,gene
GENE217,gene
GENE218,gene
GENE219,gene
GENE220,gene
GENE221,gene
GENE222,gene
GENE223,gene
GENE224,gene
GENE225,gene
GENE226,gene
GENE227,gene
GENE228,gene
GENE229,gene
GENE230,gene
GENE231,gene
GENE232,gene
GENE233,gene
GENE234,gene
GENE235,gene
GENE236,gene
GENE237,gene
GENE238,gene
GENE239,gene
GENE240,gene
GENE241,gene
GENE242,gene
GENE243,gene
GENE244,gene
GENE245,gene
GENE246,gene
GENE247,gene
GENE248,gene
GENE249,gene
GENE250,gene
GENE251,gene
GENE252,gene
GENE253,gene
GENE254,gene
GENE255,gene
GENE256,gene
GENE257,gene
GENE258,gene
GENE259,gene
GENE260,gene
GENE261,gene
GENE262,gene
GENE263,gene
GENE264,gene
GENE265,gene
GENE266,gene
GENE267,gene
GENE268,gene
GENE269,gene
GENE270,gene
GENE271,gene
GENE272,gene
GENE273,gene
GENE274,gene
GENE275,gene
GENE276,gene
GENE277,gene
GENE278,gene
GENE279,gene
GENE280,gene
GENE281,gene
GENE282,gene
GENE283,gene
GENE284,gene
GENE285,gene
GENE286,gene
GENE287,gene
GENE288,gene
GENE289,gene
GENE290,gene
GENE291,gene
GENE292,gene
GENE293,gene
GENE294,gene
GENE295,gene
GENE296,gene
GENE297,gene
GENE298,gene
GENE299,gene
ClusterA,cluster
ClusterB,cluster
ClusterC,cluster
HP:0000000,hpo_term
HP:0000001,hpo_term
HP:0000002,hpo_term
HP:0000003,hpo_term
HP:0000004,hpo_term
HP:0000005,hpo_term
HP:0000006,hpo_term
HP:0000007,hpo_term
HP:0000008,hpo_term
HP:0000009,hpo_term
HP:0000010,hpo_term
HP:0000011,hpo_term
HP:0000012,hpo_term
HP:0000013,hpo_term
HP:0000014,hpo_term
HP:0000015,hpo_term
HP:0000016,hpo_term
HP:0000017,hpo_term
HP:0000018,hpo_term
HP:0000019,hpo_term
HP:0000020,hpo_term
HP:0000021,hpo_term
HP:0000022,hpo_term
HP:0000023,hpo_term
HP:0000024,hpo_term
HP:0000025,hpo_term
HP:0000026,hpo_term
HP:0000027,hpo_term
HP:0000028,hpo_term
HP:0000029,hpo_term
