gene,link_score,rank,is_known
GENE113,2.7448949688722857e-17,64,False
GENE162,2.5311885562800257e-17,65,False
GENE37,2.2063514210080015e-17,66,True
GENE67,2.1446874224478885e-17,67,False
GENE208,2.0599841277224584e-17,68,True
GENE9,1.945465273253677e-17,69,False
GENE267,1.942924174411914e-17,70,True
GENE279,1.942924174411914e-17,71,False
GENE80,1.3915057257493646e-17,72,False
GENE238,1.2415808940853534e-17,73,True
GENE89,1.2346352239178682e-17,74,False
GENE6,1.1919447633762514e-17,75,True
GENE160,1.0232158002831948e-17,76,False
GENE173,9.565543073342814e-18,77,False
GENE43,8.87055254012066e-18,78,False
GENE82,5.233816581084322e-18,79,False
GENE195,5.14487812162262e-18,80,True
GENE129,1.9481757786848908e-20,81,False
GENE102,-1.0842021724855044e-19,82,False
GENE182,-3.1170812458958252e-19,83,False
GENE36,-1.3992984288641042e-18,84,False
GENE32,-1.6898307297723292e-18,85,False
GENE258,-9.411383076942531e-18,86,False
GENE22,-9.98588317341776e-18,87,False
GENE84,-1.150694258844967e-17,88,False
GENE252,-1.3511657816363785e-17,89,False
GENE146,-1.5708649523304627e-17,90,False
GENE16,-1.8214596497756474e-17,91,False
GENE110,-1.9264917352351807e-17,92,False
GENE143,-2.1189376208513577e-17,93,False
GENE52,-2.1821262787165285e-17,94,False
GENE263,-2.3042684297105986e-17,95,False
GENE255,-2.4170932182848714e-17,96,False
GENE10,-2.6194917410312865e-17,97,False
GENE55,-3.048905681553695e-17,98,False
GENE190,-3.0826917082373007e-17,99,False
GENE287,-3.140120542061142e-17,100,False
GENE165,-3.1743830247775787e-17,101,False
GENE265,-3.1961094198746515e-17,102,False
GENE134,-3.212965375525012e-17,103,False
GENE28,-3.2366822980481325e-17,104,False
GENE177,-3.3081718787963954e-17,105,False
GENE142,-3.460976622481071e-17,106,False
GENE121,-3.5707520924452285e-17,107,False
GENE223,-3.592986707310654e-17,108,False
GENE78,-3.606539234466723e-17,109,False
GENE240,-3.614437816699869e-17,110,True
GENE137,-3.6543965959865907e-17,111,False
GENE179,-3.676800617441467e-17,112,False
GENE186,-3.7281308140450775e-17,113,False
GENE254,-3.7293166601712335e-17,114,False
GENE105,-3.8116482626443515e-17,115,False
GENE156,-3.9085488318102435e-17,116,False
GENE115,-3.9349762597645777e-17,117,False
GENE140,-4.0649111138733873e-17,118,False
GENE207,-4.0870186737967246e-17,119,False
GENE74,-4.111159112793472e-17,120,False
GENE166,-4.134240760606152e-17,121,False
GENE130,-4.137671244042532e-17,122,False
GENE294,-4.1396194198212166e-17,123,False
GENE61,-4.156390672176852e-17,124,False
GENE141,-4.172913108604231e-17,125,False
GENE268,-4.1962435723451666e-17,126,False
GENE151,-4.211617220337832e-17,127,False
GENE4,-4.299031020494476e-17,128,False
GENE95,-4.3020803391045914e-17,129,False
GENE257,-4.3530717225293e-17,130,False
GENE83,-4.388223589840354e-17,131,False
GENE94,-4.416122737540542e-17,132,False
GENE144,-4.551192728892081e-17,133,False
GENE93,-4.5514468387762574e-17,134,False
GENE244,-4.5945608157915013e-17,135,False
GENE3,-4.648686221121051e-17,136,True
GENE197,-4.652243759499519e-17,137,True
GENE280,-4.756111174656578e-17,138,False
GENE191,-4.7779434488720574e-17,139,False
GENE120,-4.782856239966132e-17,140,False
GENE172,-4.795858195706486e-17,141,False
GENE124,-4.8445202385262454e-17,142,False
GENE229,-4.878486259711143e-17,143,False
GENE117,-4.927021247588814e-17,144,False
GENE181,-4.9304729068488755e-17,145,False
GENE71,-4.9381173791978455e-17,146,False
GENE33,-5.015451487282163e-17,147,False
GENE225,-5.0164679268188683e-17,148,False
GENE205,-5.121584715573127e-17,149,False
GENE70,-5.171051439692778e-17,150,False
GENE40,-5.1811311317651043e-17,151,False
GENE135,-5.1823169778912603e-17,152,False
GENE133,-5.224287460427711e-17,153,False
GENE91,-5.2545265366446894e-17,154,False
GENE50,-5.316825809915243e-17,155,False
GENE226,-5.428803565542262e-17,156,False
GENE139,-5.451969916649667e-17,157,False
GENE104,-5.4672376855239256e-17,158,False
GENE108,-5.498937893574918e-17,159,False
GENE204,-5.513464508620329e-17,160,False
GENE118,-5.544974134258189e-17,161,False
GENE64,-5.556869653211192e-17,162,False
GENE224,-5.560390133898217e-17,163,False
GENE57,-5.641662945187267e-17,164,False
GENE272,-5.68943560341241e-17,165,False
GENE183,-5.717557097261253e-17,166,False
GENE171,-5.734582459501064e-17,167,False
GENE158,-5.786082062694126e-17,168,False
GENE109,-5.787606721999183e-17,169,True
GENE128,-5.831440677019593e-17,170,False
GENE188,-5.881881489028587e-17,171,False
GENE131,-5.892554104163991e-17,172,False
GENE96,-5.928076548389468e-17,173,False
GENE266,-5.965144827743685e-17,174,True
GENE209,-5.972259904500621e-17,175,True
GENE17,-6.09719726422063e-17,176,False
GENE47,-6.104693505803831e-17,177,False
GENE153,-6.293539501394177e-17,178,False
GENE184,-6.329368995063034e-17,179,False
GENE126,-6.707315096127903e-17,180,False
GENE18,-6.905012586017056e-17,181,False
GENE19,-7.007101231984881e-17,182,False
GENE60,-7.078908450088364e-17,183,False
GENE107,-7.113043877862713e-17,184,True
GENE11,-7.249585588960106e-17,185,True
GENE85,-7.436271650534954e-17,186,True
GENE99,-7.506998901630688e-17,187,False
GENE210,-7.668273974787906e-17,188,False
GENE154,-7.773814280015792e-17,189,False
GENE15,-8.093301872830313e-17,190,False
GENE221,-8.175265545366968e-17,191,True
GENE7,-8.589739942282178e-17,192,False
GENE199,-8.612292194502824e-17,193,True
GENE159,-8.614325073576234e-17,194,True
GENE243,-8.657523753886204e-17,195,False
GENE90,-8.771767322647128e-17,196,True
GENE149,-8.848614386786774e-17,197,False
GENE283,-9.015903393869498e-17,198,False
GENE169,-9.129236402212124e-17,199,True
GENE206,-9.287377453464501e-17,200,False
